Learner,CA,AUC,Precision(average=macro),Recall(average=macro),F1(average=macro),MCC
TreeLearner(),0.8166176470588236,0.8571781612817393,0.7449170975044463,0.7397902002681415,0.7423011178779082,0.7603151089915797
TreeLearner(sufficient_majority=0.9),0.8197058823529412,0.8775557524597446,0.7519193082476204,0.7396317244846656,0.7454323234012019,0.7638647075118642
TreeLearner(max_depth=5),0.7658088235294118,0.9437594957106246,0.7027409656637063,0.6606165682084799,0.6442357470320229,0.6959061790214552
"TreeLearner(max_depth=5, sufficient_majority=0.9)",0.7654411764705882,0.9435500385583402,0.7015739696373444,0.659850636835931,0.6435843522850506,0.6953556775048991
TreeLearner(max_depth=10),0.8300735294117647,0.9644745358386061,0.7715900938736958,0.7516336726998492,0.7566044037627382,0.7782146679998214
"TreeLearner(max_depth=10, sufficient_majority=0.9)",0.8242647058823529,0.9621478046289418,0.767346406027062,0.7447621292106588,0.7508506194125103,0.770402657449544
TreeLearner(min_samples_split=5),0.8166176470588236,0.8684564792906618,0.7437745037016891,0.7385974421820011,0.7411185402376592,0.7602949844124723
"TreeLearner(min_samples_split=5, sufficient_majority=0.9)",0.8201470588235295,0.8856118268878352,0.7519190508733781,0.7394495768392826,0.7452896805053423,0.7644249103961323
"TreeLearner(max_depth=5, min_samples_split=5)",0.7658088235294118,0.9437594957106246,0.7027409656637063,0.6606165682084799,0.6442357470320229,0.6959061790214552
"TreeLearner(max_depth=5, min_samples_split=5, sufficient_majority=0.9)",0.7654411764705882,0.9435500385583402,0.7015739696373444,0.659850636835931,0.6435843522850506,0.6953556775048991
"TreeLearner(max_depth=10, min_samples_split=5)",0.8299264705882353,0.9647771305090921,0.771288171212445,0.7514451357466063,0.7563934013189947,0.7780200880095048
"TreeLearner(max_depth=10, min_samples_split=5, sufficient_majority=0.9)",0.8241911764705883,0.9621400149584244,0.76716414908272,0.7446678607340372,0.7507419723045726,0.7703051897043606
TreeLearner(min_samples_leaf=5),0.8199264705882353,0.9141627959750374,0.7538865919776456,0.7465169369029664,0.7498886385335309,0.7645160776880499
"TreeLearner(min_samples_leaf=5, sufficient_majority=0.9)",0.8192647058823529,0.9206658414294188,0.7552959691836846,0.7417833500921737,0.7479327900984613,0.7632798861870704
"TreeLearner(max_depth=5, min_samples_leaf=5)",0.7658088235294118,0.9437594957106246,0.7027409656637063,0.6606165682084799,0.6442357470320229,0.6959061790214552
"TreeLearner(max_depth=5, min_samples_leaf=5, sufficient_majority=0.9)",0.7654411764705882,0.9435500385583402,0.7015739696373444,0.659850636835931,0.6435843522850506,0.6953556775048991
"TreeLearner(max_depth=10, min_samples_leaf=5)",0.8306617647058824,0.9668457552706553,0.7724641440306933,0.7530778133903134,0.7578362667647399,0.7789790688259872
"TreeLearner(max_depth=10, min_samples_leaf=5, sufficient_majority=0.9)",0.8244117647058824,0.9632760267949432,0.767582842535773,0.7455332977207977,0.7513796752927888,0.7705985881826664
