Learner,Recall(weighted),F1(weighted),MCC,Precision(weighted),AUC,CA
"RandomForestLearner(n_estimators=50, max_depth=5, min_samples_split=5, max_features=5, random_state=0, class_weight='balanced')",0.7567647058823529,0.7559670343622006,0.6936625249822524,0.7834444117861705,0.9481948332501307,0.7567647058823529
"RandomForestLearner(n_estimators=50, max_depth=15, min_samples_split=5, max_features=5, random_state=0, class_weight='balanced')",0.8327205882352942,0.8326487925282834,0.782468316619372,0.8367293194870028,0.9707959081216931,0.8327205882352942
"RandomForestLearner(n_estimators=100, min_samples_split=5, random_state=0, class_weight='balanced')",0.8508088235294118,0.8494108758503754,0.8047623261739572,0.8486086190542956,0.9756850036662583,0.8508088235294118
"RandomForestLearner(n_estimators=100, max_depth=5, min_samples_split=5, random_state=0, class_weight='balanced')",0.7747058823529411,0.7751579203193932,0.7163834490836509,0.803904338984141,0.9561476178461132,0.7747058823529411
"RandomForestLearner(n_estimators=100, max_depth=15, min_samples_split=5, random_state=0, class_weight='balanced')",0.8459558823529412,0.8460761900683653,0.7996754497143377,0.8499539346446899,0.9747350270754701,0.8459558823529412
"RandomForestLearner(n_estimators=100, min_samples_split=5, max_features='log2', random_state=0, class_weight='balanced')",0.8444117647058823,0.8427755650878489,0.7963284579063218,0.8418616227836575,0.9736775960528086,0.8444117647058823
"RandomForestLearner(n_estimators=100, max_depth=5, min_samples_split=5, max_features='log2', random_state=0, class_weight='balanced')",0.758014705882353,0.7570635659892867,0.69515654552582,0.7851906558470321,0.9507353448968484,0.758014705882353
"RandomForestLearner(n_estimators=100, max_depth=15, min_samples_split=5, max_features='log2', random_state=0, class_weight='balanced')",0.8333088235294117,0.8332867991116311,0.783612792522976,0.8386208548421833,0.9715473204041212,0.8333088235294117
"RandomForestLearner(n_estimators=100, min_samples_split=5, max_features=5, random_state=0, class_weight='balanced')",0.8444117647058823,0.8427755650878489,0.7963284579063218,0.8418616227836575,0.9736775960528086,0.8444117647058823
"RandomForestLearner(n_estimators=100, max_depth=5, min_samples_split=5, max_features=5, random_state=0, class_weight='balanced')",0.758014705882353,0.7570635659892867,0.69515654552582,0.7851906558470321,0.9507353448968484,0.758014705882353
"RandomForestLearner(n_estimators=100, max_depth=15, min_samples_split=5, max_features=5, random_state=0, class_weight='balanced')",0.8333088235294117,0.8332867991116311,0.783612792522976,0.8386208548421833,0.9715473204041212,0.8333088235294117
"RandomForestLearner(n_estimators=200, min_samples_split=5, random_state=0, class_weight='balanced')",0.8497058823529412,0.8484327284180274,0.8033734436885225,0.8479148114629451,0.9760897738474926,0.8497058823529412
"RandomForestLearner(n_estimators=200, max_depth=5, min_samples_split=5, random_state=0, class_weight='balanced')",0.7775,0.778299867941678,0.7174670940056591,0.8022248120163734,0.956978153997745,0.7775
"RandomForestLearner(n_estimators=200, max_depth=15, min_samples_split=5, random_state=0, class_weight='balanced')",0.8477941176470588,0.8480122007186272,0.8022216754316844,0.8530031598496229,0.9750940712912902,0.8477941176470588
"RandomForestLearner(n_estimators=200, min_samples_split=5, max_features='log2', random_state=0, class_weight='balanced')",0.8452205882352941,0.8435032289208406,0.7973741918925823,0.8427293527244453,0.9740405086563868,0.8452205882352941
"RandomForestLearner(n_estimators=200, max_depth=5, min_samples_split=5, max_features='log2', random_state=0, class_weight='balanced')",0.7688970588235294,0.7684747493369696,0.7080726789290684,0.7937491141149872,0.9518879410794259,0.7688970588235294
"RandomForestLearner(n_estimators=200, max_depth=15, min_samples_split=5, max_features='log2', random_state=0, class_weight='balanced')",0.836764705882353,0.8365698344347926,0.7879440594510535,0.8419690411330176,0.9718569747941073,0.836764705882353
"RandomForestLearner(n_estimators=200, min_samples_split=5, max_features=5, random_state=0, class_weight='balanced')",0.8452205882352941,0.8435032289208406,0.7973741918925823,0.8427293527244453,0.9740405086563868,0.8452205882352941
"RandomForestLearner(n_estimators=200, max_depth=5, min_samples_split=5, max_features=5, random_state=0, class_weight='balanced')",0.7688970588235294,0.7684747493369696,0.7080726789290684,0.7937491141149872,0.9518879410794259,0.7688970588235294
"RandomForestLearner(n_estimators=200, max_depth=15, min_samples_split=5, max_features=5, random_state=0, class_weight='balanced')",0.836764705882353,0.8365698344347926,0.7879440594510535,0.8419690411330176,0.9718569747941073,0.836764705882353
"RandomForestLearner(n_estimators=50, min_samples_split=10, random_state=0, class_weight='balanced')",0.8503676470588235,0.8498632317202242,0.8044983441231086,0.8500442803824592,0.9746992488966244,0.8503676470588235
"RandomForestLearner(n_estimators=50, max_depth=5, min_samples_split=10, random_state=0, class_weight='balanced')",0.7778676470588235,0.7778329389873023,0.7180898087330346,0.8014557477936641,0.9557794474794107,0.7778676470588235
"RandomForestLearner(n_estimators=50, max_depth=15, min_samples_split=10, random_state=0, class_weight='balanced')",0.8447058823529412,0.8450640983181303,0.7981641501094535,0.8489144809293641,0.9746112492462111,0.8447058823529412
"RandomForestLearner(n_estimators=50, min_samples_split=10, max_features='log2', random_state=0, class_weight='balanced')",0.8395588235294118,0.8391005778879167,0.790461193148805,0.8392048152953778,0.9723368699824507,0.8395588235294118
"RandomForestLearner(n_estimators=50, max_depth=5, min_samples_split=10, max_features='log2', random_state=0, class_weight='balanced')",0.76,0.7593449475927508,0.6970944748111737,0.7850596204406951,0.9489798867533539,0.76
"RandomForestLearner(n_estimators=50, max_depth=15, min_samples_split=10, max_features='log2', random_state=0, class_weight='balanced')",0.8335294117647059,0.8338207420435495,0.7837192549564765,0.8377047004034344,0.9712209441410733,0.8335294117647059
"RandomForestLearner(n_estimators=50, min_samples_split=10, max_features=5, random_state=0, class_weight='balanced')",0.8395588235294118,0.8391005778879167,0.790461193148805,0.8392048152953778,0.9723368699824507,0.8395588235294118
"RandomForestLearner(n_estimators=50, max_depth=5, min_samples_split=10, max_features=5, random_state=0, class_weight='balanced')",0.76,0.7593449475927508,0.6970944748111737,0.7850596204406951,0.9489798867533539,0.76
"RandomForestLearner(n_estimators=50, max_depth=15, min_samples_split=10, max_features=5, random_state=0, class_weight='balanced')",0.8335294117647059,0.8338207420435495,0.7837192549564765,0.8377047004034344,0.9712209441410733,0.8335294117647059
"RandomForestLearner(n_estimators=100, min_samples_split=10, random_state=0, class_weight='balanced')",0.8525735294117647,0.8522116527099568,0.8075086044862343,0.8531432282187595,0.9756691774818842,0.8525735294117647
