Learner,Recall(weighted),F1(weighted),MCC,Precision(weighted),AUC,CA
"TreeLearner(max_depth=20, min_samples_leaf=10, min_samples_split=10)",0.8305882352941176,0.8290485039888857,0.778345260065629,0.8278785250311471,0.9489596314942084,0.8305882352941176
"TreeLearner(max_depth=20, min_samples_leaf=10, min_samples_split=10, sufficient_majority=0.9)",0.8286764705882353,0.8268713312882218,0.7755756560512399,0.8257058013770844,0.949438504045861,0.8286764705882353
"TreeLearner(min_samples_leaf=20, min_samples_split=5)",0.8297058823529412,0.8271756306617976,0.7768788038007447,0.8253738771272571,0.959945616462888,0.8297058823529412
"TreeLearner(min_samples_leaf=20, min_samples_split=5, sufficient_majority=0.9)",0.8261029411764705,0.8233884677778919,0.7720258698583445,0.8217026111343034,0.9596962835323276,0.8261029411764705
"TreeLearner(max_depth=10, min_samples_leaf=20, min_samples_split=5)",0.8294117647058824,0.8280286455559495,0.7769485823359596,0.8305499852395748,0.9701169972543122,0.8294117647058824
"TreeLearner(max_depth=10, min_samples_leaf=20, min_samples_split=5, sufficient_majority=0.9)",0.8261764705882353,0.8245557855376915,0.7724879054716263,0.8269921383820836,0.9668854794165944,0.8261764705882353
"TreeLearner(max_depth=20, min_samples_leaf=20, min_samples_split=5)",0.8301470588235295,0.8276131612341451,0.7774778271473923,0.8258064369186835,0.9612094120434272,0.8301470588235295
"TreeLearner(max_depth=20, min_samples_leaf=20, min_samples_split=5, sufficient_majority=0.9)",0.8265441176470588,0.8238222110760478,0.772627666414281,0.8221340942177325,0.9606461472804465,0.8265441176470588
"TreeLearner(min_samples_leaf=20, min_samples_split=10)",0.8297058823529412,0.8271756306617976,0.7768788038007447,0.8253738771272571,0.959945616462888,0.8297058823529412
"TreeLearner(min_samples_leaf=20, min_samples_split=10, sufficient_majority=0.9)",0.8261029411764705,0.8233884677778919,0.7720258698583445,0.8217026111343034,0.9596962835323276,0.8261029411764705
"TreeLearner(max_depth=10, min_samples_leaf=20, min_samples_split=10)",0.8294117647058824,0.8280286455559495,0.7769485823359596,0.8305499852395748,0.9701169972543122,0.8294117647058824
"TreeLearner(max_depth=10, min_samples_leaf=20, min_samples_split=10, sufficient_majority=0.9)",0.8261764705882353,0.8245557855376915,0.7724879054716263,0.8269921383820836,0.9668854794165944,0.8261764705882353
"TreeLearner(max_depth=20, min_samples_leaf=20, min_samples_split=10)",0.8301470588235295,0.8276131612341451,0.7774778271473923,0.8258064369186835,0.9612094120434272,0.8301470588235295
"TreeLearner(max_depth=20, min_samples_leaf=20, min_samples_split=10, sufficient_majority=0.9)",0.8265441176470588,0.8238222110760478,0.772627666414281,0.8221340942177325,0.9606461472804465,0.8265441176470588
"TreeLearner(binarize=True, min_samples_leaf=5, min_samples_split=5)",0.8148529411764706,0.813339473694673,0.7578704184582215,0.8122256315332183,0.9084398495254289,0.8148529411764706
"TreeLearner(binarize=True, min_samples_leaf=5, min_samples_split=5, sufficient_majority=0.9)",0.8183823529411764,0.8164680897266227,0.7621237816716063,0.8151709417387618,0.9166188378310917,0.8183823529411764
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=5, min_samples_split=5)",0.8333823529411765,0.8314039841590011,0.7817295909757207,0.8305754359055997,0.9689186081059855,0.8333823529411765
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=5, min_samples_split=5, sufficient_majority=0.9)",0.8306617647058824,0.8284245111175585,0.7779217904185157,0.8276083284090673,0.9663462889318494,0.8306617647058824
"TreeLearner(binarize=True, max_depth=20, min_samples_leaf=5, min_samples_split=5)",0.8229411764705883,0.8212379786930637,0.7686488004494587,0.8201260095485063,0.9234786283319054,0.8229411764705883
"TreeLearner(binarize=True, max_depth=20, min_samples_leaf=5, min_samples_split=5, sufficient_majority=0.9)",0.824485294117647,0.8224048521609184,0.7702391723793321,0.8209647225978447,0.9287835526392998,0.824485294117647
"TreeLearner(binarize=True, min_samples_leaf=5, min_samples_split=10)",0.8148529411764706,0.813339473694673,0.7578704184582215,0.8122256315332183,0.9084398495254289,0.8148529411764706
"TreeLearner(binarize=True, min_samples_leaf=5, min_samples_split=10, sufficient_majority=0.9)",0.8183823529411764,0.8164680897266227,0.7621237816716063,0.8151709417387618,0.9166188378310917,0.8183823529411764
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=5, min_samples_split=10)",0.8333823529411765,0.8314039841590011,0.7817295909757207,0.8305754359055997,0.9689186081059855,0.8333823529411765
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=5, min_samples_split=10, sufficient_majority=0.9)",0.8306617647058824,0.8284245111175585,0.7779217904185157,0.8276083284090673,0.9663462889318494,0.8306617647058824
"TreeLearner(binarize=True, max_depth=20, min_samples_leaf=5, min_samples_split=10)",0.8229411764705883,0.8212379786930637,0.7686488004494587,0.8201260095485063,0.9234786283319054,0.8229411764705883
"TreeLearner(binarize=True, max_depth=20, min_samples_leaf=5, min_samples_split=10, sufficient_majority=0.9)",0.824485294117647,0.8224048521609184,0.7702391723793321,0.8209647225978447,0.9287835526392998,0.824485294117647
"TreeLearner(binarize=True, min_samples_leaf=10, min_samples_split=5)",0.8255882352941176,0.8240764213593728,0.7716647438998582,0.822905015790521,0.943890368522718,0.8255882352941176
"TreeLearner(binarize=True, min_samples_leaf=10, min_samples_split=5, sufficient_majority=0.9)",0.8249264705882353,0.8231396695017729,0.7705751254432945,0.8220407381826018,0.9458668748764373,0.8249264705882353
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=10, min_samples_split=5)",0.8333823529411765,0.8314577428222016,0.7817373956773079,0.8309502272751833,0.9698128298391226,0.8333823529411765
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=10, min_samples_split=5, sufficient_majority=0.9)",0.8300735294117647,0.8278933568866435,0.7771559043790296,0.8272880953617938,0.9667931529550787,0.8300735294117647
"TreeLearner(binarize=True, max_depth=20, min_samples_leaf=10, min_samples_split=5)",0.8305882352941176,0.8290485039888857,0.778345260065629,0.8278785250311471,0.9489596314942084,0.8305882352941176
"TreeLearner(binarize=True, max_depth=20, min_samples_leaf=10, min_samples_split=5, sufficient_majority=0.9)",0.8286764705882353,0.8268713312882218,0.7755756560512399,0.8257058013770844,0.949438504045861,0.8286764705882353
"TreeLearner(binarize=True, min_samples_leaf=10, min_samples_split=10)",0.8255882352941176,0.8240764213593728,0.7716647438998582,0.822905015790521,0.943890368522718,0.8255882352941176
"TreeLearner(binarize=True, min_samples_leaf=10, min_samples_split=10, sufficient_majority=0.9)",0.8249264705882353,0.8231396695017729,0.7705751254432945,0.8220407381826018,0.9458668748764373,0.8249264705882353
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=10, min_samples_split=10)",0.8333823529411765,0.8314577428222016,0.7817373956773079,0.8309502272751833,0.9698128298391226,0.8333823529411765
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=10, min_samples_split=10, sufficient_majority=0.9)",0.8300735294117647,0.8278933568866435,0.7771559043790296,0.8272880953617938,0.9667931529550787,0.8300735294117647
"TreeLearner(binarize=True, max_depth=20, min_samples_leaf=10, min_samples_split=10)",0.8305882352941176,0.8290485039888857,0.778345260065629,0.8278785250311471,0.9489596314942084,0.8305882352941176
"TreeLearner(binarize=True, max_depth=20, min_samples_leaf=10, min_samples_split=10, sufficient_majority=0.9)",0.8286764705882353,0.8268713312882218,0.7755756560512399,0.8257058013770844,0.949438504045861,0.8286764705882353
"TreeLearner(binarize=True, min_samples_leaf=20, min_samples_split=5)",0.8297058823529412,0.8271756306617976,0.7768788038007447,0.8253738771272571,0.959945616462888,0.8297058823529412
"TreeLearner(binarize=True, min_samples_leaf=20, min_samples_split=5, sufficient_majority=0.9)",0.8261029411764705,0.8233884677778919,0.7720258698583445,0.8217026111343034,0.9596962835323276,0.8261029411764705
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=20, min_samples_split=5)",0.8294117647058824,0.8280286455559495,0.7769485823359596,0.8305499852395748,0.9701169972543122,0.8294117647058824
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=20, min_samples_split=5, sufficient_majority=0.9)",0.8261764705882353,0.8245557855376915,0.7724879054716263,0.8269921383820836,0.9668854794165944,0.8261764705882353
"TreeLearner(binarize=True, max_depth=20, min_samples_leaf=20, min_samples_split=5)",0.8301470588235295,0.8276131612341451,0.7774778271473923,0.8258064369186835,0.9612094120434272,0.8301470588235295
"TreeLearner(binarize=True, max_depth=20, min_samples_leaf=20, min_samples_split=5, sufficient_majority=0.9)",0.8265441176470588,0.8238222110760478,0.772627666414281,0.8221340942177325,0.9606461472804465,0.8265441176470588
"TreeLearner(binarize=True, min_samples_leaf=20, min_samples_split=10)",0.8297058823529412,0.8271756306617976,0.7768788038007447,0.8253738771272571,0.959945616462888,0.8297058823529412
"TreeLearner(binarize=True, min_samples_leaf=20, min_samples_split=10, sufficient_majority=0.9)",0.8261029411764705,0.8233884677778919,0.7720258698583445,0.8217026111343034,0.9596962835323276,0.8261029411764705
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=20, min_samples_split=10)",0.8294117647058824,0.8280286455559495,0.7769485823359596,0.8305499852395748,0.9701169972543122,0.8294117647058824
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=20, min_samples_split=10, sufficient_majority=0.9)",0.8261764705882353,0.8245557855376915,0.7724879054716263,0.8269921383820836,0.9668854794165944,0.8261764705882353
"TreeLearner(binarize=True, max_depth=20, min_samples_leaf=20, min_samples_split=10)",0.8301470588235295,0.8276131612341451,0.7774778271473923,0.8258064369186835,0.9612094120434272,0.8301470588235295
"TreeLearner(binarize=True, max_depth=20, min_samples_leaf=20, min_samples_split=10, sufficient_majority=0.9)",0.8265441176470588,0.8238222110760478,0.772627666414281,0.8221340942177325,0.9606461472804465,0.8265441176470588
"GBClassifier(min_impurity_split=<?>, random_state=0, presort=<?>)",0.8710294117647058,0.8695718195407545,0.8310581804972033,0.8690125955838081,0.984888497619471,0.8710294117647058
"GBClassifier(min_samples_split=5, min_impurity_split=<?>, random_state=0, presort=<?>)",0.8710294117647058,0.8695718195407545,0.8310581804972033,0.8690125955838081,0.984888497619471,0.8710294117647058
"GBClassifier(max_depth=5, min_impurity_split=<?>, random_state=0, presort=<?>)",0.87625,0.8750179044120459,0.8379801489962135,0.8744843310917602,0.9863684080697854,0.87625
"GBClassifier(min_samples_split=5, max_depth=5, min_impurity_split=<?>, random_state=0, presort=<?>)",0.8763235294117647,0.8751636335032565,0.8380813724479738,0.8746458449969138,0.9863835713034773,0.8763235294117647
"GBClassifier(learning_rate=0.3, min_impurity_split=<?>, random_state=0, presort=<?>)",0.8836029411764705,0.8825449778382879,0.8476150590119003,0.882110993926286,0.9873265551751002,0.8836029411764705
"GBClassifier(learning_rate=0.3, min_samples_split=5, min_impurity_split=<?>, random_state=0, presort=<?>)",0.8840441176470588,0.8830990877192506,0.8482166907180516,0.882813066928682,0.987317675867557,0.8840441176470588
"GBClassifier(learning_rate=0.3, max_depth=5, min_impurity_split=<?>, random_state=0, presort=<?>)",0.8822058823529412,0.8815565142990759,0.8458880764090105,0.881360706225347,0.9866838738572422,0.8822058823529412
"GBClassifier(learning_rate=0.3, min_samples_split=5, max_depth=5, min_impurity_split=<?>, random_state=0, presort=<?>)",0.8803676470588235,0.8794704447284093,0.8434258571568493,0.8790123796669552,0.9863888043822676,0.8803676470588235
"GBClassifier(learning_rate=0.5, min_impurity_split=<?>, random_state=0, presort=<?>)",0.8856617647058823,0.8849083400549986,0.8503330651164143,0.8846851727222527,0.9873174924982193,0.8856617647058823
"GBClassifier(learning_rate=0.5, min_samples_split=5, min_impurity_split=<?>, random_state=0, presort=<?>)",0.888014705882353,0.8872362247848236,0.8534103147502808,0.8869493979185288,0.9877672410621836,0.888014705882353
"GBClassifier(learning_rate=0.5, max_depth=5, min_impurity_split=<?>, random_state=0, presort=<?>)",0.8778676470588235,0.876948125346832,0.8401651537534173,0.8764314008791042,0.9849878062211518,0.8778676470588235
